,qid,Q,A,Gold_A
0,18ecd2ac6c0ac69993b92dc4b30137e8,"Which Title(s), in Filmography of Ben Piazza, has the left half of a woman's face on its poster?"," Do you want to retrieve an image to help answer the following question? Yes or No
Q Which Title(s), in Filmography of Ben Piazza, has the left half of a woman's face on its poster?
Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: ","['Tell Me That You Love Me, Junie Moon']"
1,e1e6ed53f9ad11813845088f4cf2f6b1,"Which Club(s), in Career statistics | Club of Dženis Beganović, have a flower on the logo?"," Do you want to retrieve an image to help answer the following question? Yes or No
Q Which Club(s), in Career statistics | Club of Dženis Beganović, have a flower on the logo?
Yes/No: 	Q Which Club(s), in Career statistics | Club of Dženis Beganović, have a flower on the logo?",['FK Tuzla City']
2,5fb253761e72a6048b8b759f04c3b784,What award did Barathea win at Churchill Downs in 1994?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What award did Barathea win at Churchill Downs in 1994?
Yes/No: 	Barathea won the 1994 Kentucky Derby.","[""Breeders' Cup Mile""]"
3,33cf75c43fb268f267002cf8b9c28313,who rode american pharoah in the kentucky derby," Do you want to retrieve an image to help answer the following question? Yes or No
Q who rode american pharoah in the kentucky derby
Yes/No:...........................",['Victor Espinoza']
4,bc2bade34338dadc9536bc852ec50919,What animals race in the Kentucky Derby?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What animals race in the Kentucky Derby?
Yes/No: 	Yes/No: Yes/No: Yes/No: Yes/No: Yes/No: Yes/No: Yes/No: Yes",['horses']
5,725cff35b53790928967f609bb24985f,What color is the Santa Anita Park logo?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What color is the Santa Anita Park logo?
Yes/No: 	The Santa Anita Park logo is green.",['blue']
6,77240911edd7c3cc1d48a0623e54d32d,when was last time dodgers played yankees in the world series," Do you want to retrieve an image to help answer the following question? Yes or No
Q when was last time dodgers played yankees in the world series
Yes/No: 	No.",['1981']
7,d84462c91815f4851d806453b5715610,What county was the 1999 TransWorld Diversified Services Indy 200 held in?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What county was the 1999 TransWorld Diversified Services Indy 200 held in?
Yes/No: 	The 1999 TransWorld Diversified Services Indy 200 was held in Indianapolis, Indiana.",['Orange County']
8,614716c36c027cb4b3e963418559b585,"What singer replaced Diana Ross as the lead singer of The Supremes in January of 1970 and provided the lead vocals on the song ""You Gotta Have Love in Your Heart"" by the Supremes and the Four Tops?"," Do you want to retrieve an image to help answer the following question? Yes or No
Q What singer replaced Diana Ross as the lead singer of The Supremes in January of 1970 and provided the lead vocals on the song ""You Gotta Have Love in Your Heart"" by the Supremes and the Four Tops?
Yes/No: 	Yes.",['Jean Terrell']
9,06cebc3108b489b6cc268b4be8dc3b3c,What Indian playback singer and occasional music composer born 28 September 1929 has a song featured in the 1959 Bollywood movie Ujala?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What Indian playback singer and occasional music composer born 28 September 1929 has a song featured in the 1959 Bollywood movie Ujala?
Yes/No:..........................",['Lata Mangeshkar']
10,93ecaa742a8b0a3b6d5c6ab1c5256848,who sing the most songs in the world," Do you want to retrieve an image to help answer the following question? Yes or No
Q who sing the most songs in the world
Yes/No: 	Do you want to retrieve an image to help answer the following question?",['Asha Bhosle']
11,c766fcfc2e3d278fccbe744341523420,who played mama on throw momma from the train," Do you want to retrieve an image to help answer the following question? Yes or No
Q who played mama on throw momma from the train
Yes/No: 	Yes.",['Anne Ramsey']
12,f86444fef668a3c57db2e436760d8cee,who was considered the father of the blues," Do you want to retrieve an image to help answer the following question? Yes or No
Q who was considered the father of the blues
Yes/No: 	Who was considered the father of the blues?",['William Christopher Handy']
13,d0fc9cc5086d90b34e4a55b7f8498ec4,caesar's son name in planet of the apes," Do you want to retrieve an image to help answer the following question? Yes or No
Q caesar's son name in planet of the apes
Yes/No: romeo and juliet name in planet of the apes.",['Blue Eyes']
14,ae01728a7eeb65102cc999a29b13142c,What is the man holding in the poster for Blue Eyes (film)?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What is the man holding in the poster for Blue Eyes (film)?
Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: ",['gun']
15,08f92dc7e86cdae17365b2c16f90b839,What object is in front of Felicia Day's face?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What object is in front of Felicia Day's face?
Yes/No: 	No.",['microphone']
16,3116ad06bfe68bb544de4ce3f77d911f,What color is Rachel Dratch wearing?," Do you want to retrieve an image to help answer the following question? Yes or No
Q What color is Rachel Dratch wearing?
Yes/No: 	Q What color is Rachel Dratch wearing?",['black']
17,35ce9f0507cb771000b13b5cf015de5d,The voice artist of the girl mammoth in ice age continental draft has what color hair?," Do you want to retrieve an image to help answer the following question? Yes or No
Q The voice artist of the girl mammoth in ice age continental draft has what color hair?
Yes/No: 	The voice artist of the girl mammoth in ice age continental draft has black hair.",['black']
18,8a36aeac84a462745c5fa5ffacc45c1b,"Which Player(s), in Scoring leaders of 2000–01 AHL season, Plays for the team with a pouncing wild cat on the jersey?"," Do you want to retrieve an image to help answer the following question? Yes or No
Q Which Player(s), in Scoring leaders of 2000–01 AHL season, Plays for the team with a pouncing wild cat on the jersey?
Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: 	Yes/No: ",['Mikael Samuelsson']
19,9ae2827de34f02e886c7d9d6af81e9c6,"Milo Murphy's Law (previously titled Mikey Murphy's Law) is an American animated television series from the creators of ""Phineas and Ferb"", the series revolves around the title character, Milo Murphy, who is a descendant of Edward A. Murphy Jr., was an American aerospace engineer who worked on safety-critical systems, and the namesake of which term,?"," Do you want to retrieve an image to help answer the following question? Yes or No
Q Milo Murphy's Law (previously titled Mikey Murphy's Law) is an American animated television series from the creators of ""Phineas and Ferb"", the series revolves around the title character, Milo Murphy, who is a descendant of Edward A. Murphy Jr., was an American aerospace engineer who worked on safety-critical systems, and the namesake of which term,?
Yes/No: 	Milo Murphy's Law (previously titled Mikey Murphy's Law) is an American animated television series from the creators of ""Phineas","[""Murphy's law""]"
20,9ccd35f39cdd23d9b4cad3467539d5f4,when did the first episode of phineas and ferb come out," Do you want to retrieve an image to help answer the following question? Yes or No
Q when did the first episode of phineas and ferb come out
Yes/No: 	When did the first episode of Phineas and Ferb come out?","['August 17, 2007']"
